phase,strategy,joint_name,split_kind,split_id,seed,scaler,optimizer,learning_rate,batch_size,weight_decay,epochs,train_size,val_size,threshold_selected,train_mse,val_mse,train_auc_pr,val_auc_pr,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1,generalization_gap_auc_pr,generalization_gap_f1,generalization_gap_mse,stopped_at
strategy,S1,,holdout,0,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.8903561101560236,0.005321027322696069,0.006041203676661282,0.950944084592093,0.9554203651970927,0.8737864077669902,0.8585055643879174,0.8660785886126704,0.9150943396226415,0.8818181818181818,0.8981481481481483,-0.004476280604999716,-0.032069559535477854,0.0007201763539652125,500
strategy,S2,,repeated_holdout,0,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.8903561101560236,0.005321027322696069,0.006041203676661282,0.950944084592093,0.9554203651970927,0.8737864077669902,0.8585055643879174,0.8660785886126704,0.9150943396226415,0.8818181818181818,0.8981481481481483,-0.004476280604999716,-0.032069559535477854,0.0007201763539652125,500
strategy,S2,,repeated_holdout,1,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.890631529293991,0.005400747641419759,0.005575886953597368,0.947967409113832,0.9670767327581393,0.8760195758564437,0.8537360890302067,0.8647342995169082,0.9339622641509434,0.9,0.9166666666666666,-0.019109323644307286,-0.05193236714975846,0.0001751393121776088,500
strategy,S2,,repeated_holdout,2,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.8170213062555881,0.005479131913352986,0.00513411979377101,0.9553307285859028,0.9216360094636403,0.7680412371134021,0.9475357710651828,0.8483985765124555,0.7874015748031497,0.9090909090909091,0.8438818565400844,0.03369471912226252,0.00451671997237113,-0.00034501211958197584,500
strategy,S2,,repeated_holdout,3,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.9032588560670614,0.0054383466802291084,0.005384375447714872,0.9505263886605069,0.9532776499760145,0.8866328257191202,0.8330683624801272,0.8590163934426229,0.9393939393939394,0.8454545454545455,0.8899521531100478,-0.002751261315507625,-0.0309357596674249,-5.3971232514236044e-05,500
strategy,S2,,repeated_holdout,4,42,z-score,adam,0.0005,30,0.0,500,5421,955,0.9168045411711158,0.005544422639276419,0.004765309697891108,0.9504454129345595,0.9577303556328385,0.9039145907473309,0.8076311605723371,0.8530646515533166,0.94,0.8545454545454545,0.8952380952380952,-0.007284942698278951,-0.0421734436847786,-0.0007791129413853111,500
strategy,S3,,cv_fold,0,42,z-score,adam,0.0005,30,0.0,500,5100,1276,0.8802950335225752,0.005363006262152954,0.0057014006183229255,0.9509492559186833,0.956080736023397,0.8561872909698997,0.8663282571912013,0.8612279226240538,0.8993288590604027,0.9054054054054054,0.9023569023569022,-0.005131480104713759,-0.04112897973284846,0.00033839435616997166,500
strategy,S3,,cv_fold,1,42,z-score,adam,0.0005,30,0.0,500,5100,1276,0.8871651356622378,0.005330886008796272,0.005825973288868957,0.9512028315325289,0.9503544253049593,0.8689075630252101,0.8747884940778342,0.8718381112984822,0.900709219858156,0.8581081081081081,0.8788927335640139,0.0008484062275696536,-0.007054622265531663,0.0004950872800726855,500
strategy,S3,,cv_fold,2,42,z-score,adam,0.0005,30,0.0,500,5101,1275,0.9347536543173034,0.005532764529558163,0.0050064687943000355,0.9496187805156755,0.954058679433882,0.9272727272727272,0.7766497461928934,0.8453038674033149,0.96,0.8108108108108109,0.8791208791208791,-0.0044398989182065085,-0.03381701171756424,-0.0005262957352581274,500
strategy,S3,,cv_fold,3,42,z-score,adam,0.0005,30,0.0,500,5101,1275,0.8929900886971138,0.005504892711683262,0.005117291676935117,0.9523967128879814,0.9447167007877091,0.8892794376098418,0.856175972927242,0.8724137931034482,0.875,0.8513513513513513,0.863013698630137,0.00768001210027236,0.009400094473311249,-0.0003876010347481449,500
strategy,S3,,cv_fold,4,42,z-score,adam,0.0005,30,0.0,500,5102,1274,0.822359074177285,0.0053719573792039696,0.00568424128794361,0.952757424129456,0.9477018865963622,0.7825464949928469,0.9239864864864865,0.847405112316034,0.772972972972973,0.9727891156462585,0.8614457831325301,0.005055537533093735,-0.01404067081649607,0.00031228390873964083,500
scaler,S3,,cv_fold,0,42,none,adam,0.0005,30,0.0,500,5100,1276,1.0,0.2118774464058474,0.2152327093240924,0.5579411764705883,0.5579937304075235,0.11588235294117646,1.0,0.20769636267791247,0.11598746081504702,1.0,0.20786516853932582,-5.2553936935262335e-05,-0.0001688058614133514,0.0033552629182450056,500
scaler,S3,,cv_fold,1,42,none,adam,0.0005,30,0.0,500,5100,1276,1.0,0.2122865495700739,0.21359757912224686,0.5579411764705883,0.5579937304075235,0.11588235294117646,1.0,0.20769636267791247,0.11598746081504702,1.0,0.20786516853932582,-5.2553936935262335e-05,-0.0001688058614133514,0.0013110295521729654,500
scaler,S3,,cv_fold,2,42,none,adam,0.0005,30,0.0,500,5101,1275,1.0,0.21239161159134018,0.21317827689406862,0.5579298176828072,0.5580392156862745,0.11585963536561458,1.0,0.20765987350667606,0.11607843137254902,1.0,0.208011243851019,-0.00010939800346720929,-0.0003513703443429328,0.0007866653027284454,500
scaler,S3,,cv_fold,3,42,none,adam,0.0005,30,0.0,500,5101,1275,1.0,0.21276639244899404,0.21167885951768275,0.5579298176828072,0.5580392156862745,0.11585963536561458,1.0,0.20765987350667606,0.11607843137254902,1.0,0.208011243851019,-0.00010939800346720929,-0.0003513703443429328,-0.0010875329313112803,500
scaler,S3,,cv_fold,4,42,none,adam,0.0005,30,0.0,500,5102,1274,1.0,0.21342224558653702,0.20905150454070015,0.558016464131713,0.5576923076923077,0.11603292826342611,1.0,0.20793818054092028,0.11538461538461539,1.0,0.20689655172413793,0.0003241564394053098,0.0010416288167823529,-0.004370741045836873,500
scaler,S3,,cv_fold,0,42,z-score,adam,0.0005,30,0.0,500,5100,1276,0.8802950335225752,0.005363006262152954,0.0057014006183229255,0.9509492559186833,0.956080736023397,0.8561872909698997,0.8663282571912013,0.8612279226240538,0.8993288590604027,0.9054054054054054,0.9023569023569022,-0.005131480104713759,-0.04112897973284846,0.00033839435616997166,500
scaler,S3,,cv_fold,1,42,z-score,adam,0.0005,30,0.0,500,5100,1276,0.8871651356622378,0.005330886008796272,0.005825973288868957,0.9512028315325289,0.9503544253049593,0.8689075630252101,0.8747884940778342,0.8718381112984822,0.900709219858156,0.8581081081081081,0.8788927335640139,0.0008484062275696536,-0.007054622265531663,0.0004950872800726855,500
scaler,S3,,cv_fold,2,42,z-score,adam,0.0005,30,0.0,500,5101,1275,0.9347536543173034,0.005532764529558163,0.0050064687943000355,0.9496187805156755,0.954058679433882,0.9272727272727272,0.7766497461928934,0.8453038674033149,0.96,0.8108108108108109,0.8791208791208791,-0.0044398989182065085,-0.03381701171756424,-0.0005262957352581274,500
scaler,S3,,cv_fold,3,42,z-score,adam,0.0005,30,0.0,500,5101,1275,0.8929900886971138,0.005504892711683262,0.005117291676935117,0.9523967128879814,0.9447167007877091,0.8892794376098418,0.856175972927242,0.8724137931034482,0.875,0.8513513513513513,0.863013698630137,0.00768001210027236,0.009400094473311249,-0.0003876010347481449,500
scaler,S3,,cv_fold,4,42,z-score,adam,0.0005,30,0.0,500,5102,1274,0.822359074177285,0.0053719573792039696,0.00568424128794361,0.952757424129456,0.9477018865963622,0.7825464949928469,0.9239864864864865,0.847405112316034,0.772972972972973,0.9727891156462585,0.8614457831325301,0.005055537533093735,-0.01404067081649607,0.00031228390873964083,500
scaler,S3,,cv_fold,0,42,min-max,adam,0.0005,30,0.0,500,5100,1276,0.8769928418529453,0.005364474993222178,0.005707668093680212,0.9512344114899642,0.9566695653181754,0.8519134775374376,0.8663282571912013,0.8590604026845637,0.8993288590604027,0.9054054054054054,0.9023569023569022,-0.005435153828211137,-0.043296499672338506,0.0003431931004580337,500
scaler,S3,,cv_fold,1,42,min-max,adam,0.0005,30,0.0,500,5100,1276,0.8838781163046161,0.005332636161062045,0.00582085580836608,0.9516594657156242,0.9508495437156241,0.8691275167785235,0.8764805414551607,0.8727885425442291,0.900709219858156,0.8581081081081081,0.8788927335640139,0.000809922000000074,-0.006104191019784766,0.00048821964730403483,500
scaler,S3,,cv_fold,2,42,min-max,adam,0.0005,30,0.0,500,5101,1275,0.9272926266334307,0.005535120565258017,0.005002589828578276,0.9501078046032824,0.9547837187939778,0.9173228346456693,0.7884940778341794,0.8480436760691539,0.952755905511811,0.8175675675675675,0.88,-0.004675914190695463,-0.03195632393084613,-0.0005325307366797405,500
scaler,S3,,cv_fold,3,42,min-max,adam,0.0005,30,0.0,500,5101,1275,0.8801414257810185,0.005507192651914187,0.005122892418099733,0.9528687592501734,0.9449876471175956,0.8760611205432938,0.8730964467005076,0.8745762711864407,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.007881112132577806,0.009711406321575744,-0.00038430023381445366,500
scaler,S3,,cv_fold,4,42,min-max,adam,0.0005,30,0.0,500,5102,1274,0.8203329095123366,0.005371993338906054,0.005690963237207436,0.9529035000836454,0.9476602276060088,0.7817403708987162,0.9256756756756757,0.8476411446249034,0.772972972972973,0.9727891156462585,0.8614457831325301,0.0052432724776366735,-0.013804638507626699,0.0003189698983013826,500
optimizer_screening,S3,,cv_fold,0,42,min-max,gd,0.001,-1,0.0,100,5100,1276,0.5035304195195082,0.04654811028680404,0.04811625967090829,0.28308515664336303,0.2646643367042478,0.2121359223300971,0.739424703891709,0.3296869105997736,0.23076923076923078,0.7702702702702703,0.3551401869158879,0.018420819939115207,-0.02545327631611427,0.0015681493841042463,100
optimizer_screening,S3,,cv_fold,1,42,min-max,gd,0.001,-1,0.0,100,5100,1276,0.5134497612237121,0.046890706298688856,0.046310567844529194,0.29835511291714184,0.2977468893542564,0.27040816326530615,0.44839255499153974,0.33736473583704646,0.3242009132420091,0.4797297297297297,0.3869209809264305,0.0006082235628854238,-0.049556245089384054,-0.0005801384541596621,100
optimizer_screening,S3,,cv_fold,2,42,min-max,gd,0.001,-1,0.0,100,5101,1275,0.5120310241023039,0.046984918921363784,0.04593490668132372,0.29497822806144214,0.28975167539040375,0.2786729857819905,0.49746192893401014,0.3572296476306197,0.2909698996655518,0.5878378378378378,0.38926174496644295,0.005226552671038387,-0.03203209733582324,-0.0010500122400400672,100
optimizer_screening,S3,,cv_fold,3,42,min-max,gd,0.001,-1,0.0,100,5101,1275,0.5150005653229369,0.04679972747926347,0.04666534928020996,0.29141565971799427,0.3096844323825673,0.2901307966706302,0.4128595600676819,0.34078212290502796,0.3163265306122449,0.4189189189189189,0.3604651162790698,-0.018268772664573052,-0.019682993374041835,-0.00013437819905350729,100
optimizer_screening,S3,,cv_fold,4,42,min-max,gd,0.001,-1,0.0,100,5102,1274,0.5098299274834034,0.04675078843602078,0.04695214309604127,0.2792286827208124,0.3107327104240345,0.2574416733708769,0.5405405405405406,0.3487738419618529,0.26099706744868034,0.6054421768707483,0.36475409836065575,-0.03150402770322208,-0.01598025639880285,0.00020135466002048352,100
optimizer_screening,S3,,cv_fold,0,42,min-max,gd,0.005,-1,0.0,100,5100,1276,0.5064850226522137,0.04604995573374475,0.04758745511291481,0.314264383034469,0.2905088877406246,0.2654798761609907,0.5803722504230119,0.3643122676579925,0.2806451612903226,0.5878378378378378,0.3799126637554585,0.02375549529384441,-0.015600396097465996,0.0015374993791700611,100
optimizer_screening,S3,,cv_fold,1,42,min-max,gd,0.005,-1,0.0,100,5100,1276,0.5090387001228,0.04640090978657023,0.045811603727380905,0.3279978618719776,0.3229959836918749,0.297244094488189,0.5109983079526227,0.3758556316116989,0.33766233766233766,0.527027027027027,0.41160949868073876,0.005001878180102726,-0.03575386706903988,-0.0005893060591893248,100
