config_name,batch_label,batch_size,learning_rate,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_macro_f1,std_macro_f1,mean_epochs,mean_elapsed_s,std_elapsed_s
online_lr1e-01,online,1,0.1,0.9401688781664657,0.0021337352893319806,0.8321185422507007,0.0048681045731750975,0.785309740746262,0.005429005966493588,72.8,260.41810082640006,25.761006657992457
online_lr1e-02,online,1,0.01,0.9326899879372739,0.0039691074159238305,0.8281938325991189,0.0042759624557594115,0.7809689441660581,0.004990804667042192,84.8,269.8110017627987,47.434158098924726
online_lr1e-03,online,1,0.001,0.9311620426216326,0.00276713317797914,0.8273928714457348,0.0011880173787898482,0.7803831117474058,0.0010294001823276696,356.4,1171.7572918047997,271.46806599607714
online_lr1e-04,online,1,0.0001,0.9142742259750705,0.003608975580589684,0.7648378053664396,0.002169998747960595,0.6759659188250529,0.0017001075115707007,500.0,1699.3311616172002,74.38359439296214
mini32_lr1e-01,mini32,32,0.1,0.9324487334137516,0.0019367261083703068,0.8280336403684421,0.0029818999549838213,0.7812462051550317,0.003633708646365409,171.6,50.536838752000406,10.315762841050253
mini32_lr1e-02,mini32,32,0.01,0.9227181342983514,0.004494793281055846,0.7879054865839007,0.018156572142249056,0.7188465188083784,0.033323028081373454,500.0,147.55676335600037,4.910770688469993
mini32_lr1e-03,mini32,32,0.001,0.8932046642541215,0.006426413517975741,0.7501802162595114,0.001725323126034279,0.6634481640287891,0.0015368597079711659,500.0,149.69885630739992,1.687368947179641
mini32_lr1e-04,mini32,32,0.0001,0.5648572577402493,0.02157156635832102,0.47953544253103725,0.014893570587642098,0.40168825435569494,0.022281316352031084,500.0,149.54634701660035,4.932346956178232
mini64_lr1e-01,mini64,64,0.1,0.9321270607157217,0.002892819581601115,0.8275530636764117,0.0010625950469700701,0.7806087661561799,0.0010069393725274387,281.8,70.92714068499954,29.749100572754244
mini64_lr1e-02,mini64,64,0.01,0.9174909529553679,0.0037323044264968614,0.7666800160192231,0.0012304598715047817,0.6776258342445975,0.0010242787656929962,500.0,113.13762619420012,4.261925886466948
mini64_lr1e-03,mini64,64,0.001,0.8467229593888218,0.009684966122926969,0.7119743692430917,0.005694152210549042,0.6282976382714617,0.006745536134117629,500.0,114.20478804839986,5.121523455641557
mini64_lr1e-04,mini64,64,0.0001,0.4738238841978287,0.008444291258286043,0.4072086503804565,0.010252302763315969,0.32943481096572,0.017539416559623433,500.0,112.69439938240029,1.552800252820414
mini128_lr1e-01,mini128,128,0.1,0.930116606353036,0.00359101142931502,0.8281938325991189,0.0027397086706427,0.7810899743077728,0.0029538306273387788,416.8,83.94635245619975,14.205125866445991
mini128_lr1e-02,mini128,128,0.01,0.9116204262163249,0.0034905563995513617,0.762915498598318,0.002692468772762773,0.6742080925257721,0.0022993789568708884,500.0,98.89032839420034,1.3992379441961722
mini128_lr1e-03,mini128,128,0.001,0.744270205066345,0.013838002798262977,0.6269923908690428,0.016786968748768002,0.5386577936776964,0.02216200323884364,500.0,100.14634334720031,1.4927358007000466
mini128_lr1e-04,mini128,128,0.0001,0.34628065942903097,0.049088955856956634,0.30036043251902284,0.04634721416669935,0.24664347448624074,0.03783014964965316,500.0,102.219740275,1.2917341195320542
full_lr1e-01,full,-1,0.1,0.7880981101728992,0.015520916015777078,0.6663996796155387,0.015400548139090737,0.5799760018754808,0.0181991356906898,500.0,68.31474899839995,4.143700456650146
full_lr1e-02,full,-1,0.01,0.4021712907117008,0.03261589055415565,0.3472166599919904,0.02934295796582238,0.28004509895876134,0.024621779341713244,500.0,68.04296928820004,4.263506607106981
full_lr1e-03,full,-1,0.001,0.11789304382790507,0.027225323267505052,0.12006407689227068,0.029709505217318098,0.10599148596275001,0.0299658253701102,500.0,68.01853360340064,4.264454480465543
full_lr1e-04,full,-1,0.0001,0.09666264575794123,0.024419333238992914,0.10356427713255903,0.02468026336637077,0.09021234069971999,0.023600325940190448,500.0,67.77010415419973,3.94687975948519
